First paint,First paint 3G
839.2,711.6
859.3,743.6
899.7,726.2
993.2,757.4
1006.4,748.9
954,689.9
770.1,711.5
876.8,928.6
977.7,878
750.1,746.2
768,712.6
800.7,755.3
815,782
849.8,760.3
848.5,693.8
783.5,830.7
913.5,802.4
807.7,816.3
752.5,781.5
794.6,753.7
794.8,767.8
831.9,729.4
780.3,748.9
879.9,781.1
813.3,838.3
811.8,875.9
807,782.9
806.3,778.5
794.6,751.5
805.1,934.2
877.5,780.2
794.3,946.8
956.9,973.4
829,773
801.1,895
723.7,724.7
935,910.3
976.7,767
810.4,781.7
1004.6,803.4
785.5,740.4
797.3,883.5
783.9,800.2
790.7,768.9
741.6,904.5
877.1,738.1
797.1,848.4
780.6,723.2
861.7,726.7
821.3,791.8